congress,bill_id_clean,predicted_category
119,hr970,Technology
119,hr983,Technology
119,s423,Technology
119,hjres42,Healthcare
119,hr1316,Technology
119,sjres18,Technology
119,hjres60,Healthcare
119,s616,Technology
119,hr1491,Technology
119,hjres61,Healthcare
119,hr1512,Technology
119,sjres28,Technology
119,hr1815,Technology
119,hr1912,Technology
119,hr1968,Technology
119,hjres75,Healthcare
119,sjres31,Technology
119,hr2170,Technology
119,s1071,Technology
119,hr2215,Technology
119,hr2316,Technology
119,hjres89,Healthcare
119,hjres88,Healthcare
119,hjres87,Healthcare
119,hr2483,Technology
119,hr2808,Technology
119,s1582,Technology
119,s1596,Technology
119,s1884,Technology
119,hr4,Technology
119,hjres104,Healthcare
119,hjres105,Healthcare
119,hjres106,Healthcare
119,hr4323,Technology
119,hr4405,Technology
119,s2283,Technology
119,hr4446,Technology
119,s2392,Technology
119,hr5371,Technology
119,sjres80,Technology
119,s2878,Technology
119,hjres130,Healthcare
119,hjres131,Healthcare
119,hjres133,Healthcare
119,s3424,Technology
119,hr6938,Technology
119,hr7148,Technology
119,hjres142,Healthcare
119,s3705,Technology
119,hr7211,Technology
119,s3971,Technology
119,s4138,Technology
119,hr8322,Technology
116,hr150,Technology
116,hr133,Technology
116,s24,Technology
116,hr251,Technology
116,hr259,Technology
116,s47,Technology
116,s49,Technology
116,hr276,Technology
116,hr299,Technology
116,hr263,Technology
116,hr266,Technology
116,hr221,Technology
116,hr430,Technology
116,hjres28,Healthcare
116,hr439,Technology
116,hr540,Technology
116,hr434,Technology
116,hr504,Technology
116,hr473,Technology
116,hjres30,Healthcare
116,hr559,Technology
116,hr639,Technology
116,s163,Technology
116,s151,Technology
116,hr583,Technology
116,s153,Technology
116,hr561,Technology
116,hjres31,Healthcare
116,s252,Technology
116,hr828,Technology
116,hr829,Technology
116,hr776,Technology
116,s239,Technology
116,hr724,Technology
116,hr777,Technology
116,s209,Technology
116,s199,Technology
116,s212,Technology
116,hr866,Technology
116,hr831,Technology
116,hr887,Technology
116,s256,Technology
116,hr943,Technology
116,hr886,Technology
116,s294,Technology
116,s327,Technology
116,hr835,Technology
116,hr1079,Technology
116,hr1058,Technology
116,s375,Technology
116,s394,Technology
116,hr991,Technology
116,s371,Technology
116,s483,Technology
116,hr1222,Technology
116,hr1198,Technology
116,hr1200,Technology
116,hr1123,Technology
116,hr1138,Technology
116,hr1158,Technology
116,s457,Technology
116,s461,Technology
116,hr1327,Technology
116,s504,Technology
116,hr1250,Technology
116,hr1252,Technology
116,hr1253,Technology
116,s490,Technology
116,hr1449,Technology
116,hr1396,Technology
116,hr1424,Technology
116,hr1365,Technology
116,s578,Technology
116,hr1418,Technology
116,hr1472,Technology
116,hr1492,Technology
116,s725,Technology
116,hr1569,Technology
116,hr1590,Technology
116,s693,Technology
116,hr1526,Technology
116,hr1520,Technology
116,hr1503,Technology
116,s744,Technology
116,s737,Technology
116,s760,Technology
116,s743,Technology
116,s785,Technology
116,hr1668,Technology
116,s863,Technology
116,hr1839,Technology
116,s862,Technology
116,hr1844,Technology
116,hr1865,Technology
116,s832,Technology
116,hr1812,Technology
116,s881,Technology
116,hr1773,Technology
116,hr1833,Technology
116,hr1830,Technology
116,hr1972,Technology
116,s893,Technology
116,hr1957,Technology
116,hr1952,Technology
116,s910,Technology
116,s945,Technology
116,s900,Technology
116,s914,Technology
116,hr1966,Technology
116,hr1923,Technology
116,hr1925,Technology
116,hr2030,Technology
116,s998,Technology
116,s982,Technology
116,s1014,Technology
116,s979,Technology
