roll_call,bill_id,bill_raw,name,bioguide_id,party,state,vote,description,question,,,,,,
19,hr187,H R 187,Garcia (TX),G000587,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Gill (TX),G000603,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Gillen,G000602,D,NY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Gimenez,G000593,R,FL,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Golden (ME),G000592,D,ME,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Goldman (NY),G000599,D,NY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Goldman (TX),G000601,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Gomez,G000585,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,"Gonzales, Tony",G000594,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,"Gonzalez, V.",G000581,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Gooden,G000589,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Goodlander,G000604,D,NH,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Gosar,G000565,R,AZ,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
